dataset,encode_thr_up,encode_thr_dn,encode_refractory,encode_interpfact,firing_rate,svm_score,svm_score_baseline,fold
roshambo,0.1,0.1,0.0,5.0,671.8139583333334,0.7833333333333333,0.5726666666666667,1.0
roshambo,0.1,0.1,0.0,5.0,678.4260416666667,0.7933333333333333,0.582,2.0
roshambo,0.1,0.1,0.0,5.0,681.3937500000001,0.7966666666666666,0.5693333333333334,3.0
roshambo,0.1,0.1,1.0,5.0,329.5498958333334,0.74,0.5726666666666667,1.0
roshambo,0.1,0.1,1.0,5.0,331.87333333333333,0.7333333333333333,0.582,2.0
roshambo,0.1,0.1,1.0,5.0,333.57343749999995,0.732,0.5693333333333334,3.0
roshambo,0.1,0.1,2.0,5.0,193.37333333333333,0.7166666666666667,0.5726666666666667,1.0
roshambo,0.1,0.1,2.0,5.0,194.39874999999998,0.7086666666666667,0.582,2.0
roshambo,0.1,0.1,2.0,5.0,195.35333333333335,0.7153333333333334,0.5693333333333334,3.0
roshambo,0.1,0.1,3.0,5.0,138.34583333333333,0.6993333333333334,0.5726666666666667,1.0
roshambo,0.1,0.1,3.0,5.0,139.0,0.684,0.582,2.0
roshambo,0.1,0.1,3.0,5.0,139.66208333333333,0.6766666666666666,0.5693333333333334,3.0
roshambo,0.1,0.1,4.0,5.0,108.11749999999999,0.658,0.5726666666666667,1.0
roshambo,0.1,0.1,4.0,5.0,108.58385416666667,0.65,0.582,2.0
roshambo,0.1,0.1,4.0,5.0,109.06239583333334,0.6426666666666667,0.5693333333333334,3.0
roshambo,0.2,0.2,0.0,5.0,357.7494791666667,0.782,0.5726666666666667,1.0
roshambo,0.2,0.2,0.0,5.0,360.9351041666667,0.784,0.582,2.0
roshambo,0.2,0.2,0.0,5.0,362.3675,0.796,0.5693333333333334,3.0
roshambo,0.2,0.2,1.0,5.0,237.75104166666668,0.778,0.5726666666666667,1.0
roshambo,0.2,0.2,1.0,5.0,240.0482291666667,0.7713333333333333,0.582,2.0
roshambo,0.2,0.2,1.0,5.0,241.3111458333333,0.7766666666666666,0.5693333333333334,3.0
roshambo,0.2,0.2,2.0,5.0,153.00458333333336,0.76,0.5726666666666667,1.0
roshambo,0.2,0.2,2.0,5.0,154.22208333333333,0.7546666666666667,0.582,2.0
roshambo,0.2,0.2,2.0,5.0,155.0825,0.7573333333333333,0.5693333333333334,3.0
roshambo,0.2,0.2,3.0,5.0,114.88427083333333,0.742,0.5726666666666667,1.0
roshambo,0.2,0.2,3.0,5.0,115.69729166666667,0.7246666666666667,0.582,2.0
roshambo,0.2,0.2,3.0,5.0,116.31635416666668,0.73,0.5693333333333334,3.0
roshambo,0.2,0.2,4.0,5.0,91.9515625,0.7093333333333334,0.5726666666666667,1.0
roshambo,0.2,0.2,4.0,5.0,92.51572916666666,0.704,0.582,2.0
roshambo,0.2,0.2,4.0,5.0,93.04354166666666,0.716,0.5693333333333334,3.0
roshambo,0.3,0.3,0.0,5.0,234.13010416666665,0.788,0.5726666666666667,1.0
roshambo,0.3,0.3,0.0,5.0,236.21750000000003,0.7813333333333333,0.582,2.0
roshambo,0.3,0.3,0.0,5.0,237.14572916666665,0.7946666666666666,0.5693333333333334,3.0
roshambo,0.3,0.3,1.0,5.0,181.15572916666665,0.7853333333333333,0.5726666666666667,1.0
roshambo,0.3,0.3,1.0,5.0,183.13083333333333,0.7933333333333333,0.582,2.0
roshambo,0.3,0.3,1.0,5.0,184.10677083333334,0.7886666666666666,0.5693333333333334,3.0
roshambo,0.3,0.3,2.0,5.0,124.08208333333333,0.7746666666666666,0.5726666666666667,1.0
roshambo,0.3,0.3,2.0,5.0,125.2303125,0.7746666666666666,0.582,2.0
roshambo,0.3,0.3,2.0,5.0,125.94635416666667,0.7793333333333333,0.5693333333333334,3.0
roshambo,0.3,0.3,3.0,5.0,96.52770833333334,0.7633333333333333,0.5726666666666667,1.0
roshambo,0.3,0.3,3.0,5.0,97.39343749999999,0.7526666666666667,0.582,2.0
roshambo,0.3,0.3,3.0,5.0,97.93260416666666,0.7633333333333333,0.5693333333333334,3.0
roshambo,0.3,0.3,4.0,5.0,78.58458333333333,0.7506666666666667,0.5726666666666667,1.0
roshambo,0.3,0.3,4.0,5.0,79.23822916666666,0.7546666666666667,0.582,2.0
roshambo,0.3,0.3,4.0,5.0,79.67218749999999,0.7553333333333333,0.5693333333333334,3.0
roshambo,0.4,0.4,0.0,5.0,169.40427083333333,0.7833333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,0.0,5.0,170.9565625,0.78,0.582,2.0
roshambo,0.4,0.4,0.0,5.0,171.64666666666668,0.8006666666666666,0.5693333333333334,3.0
roshambo,0.4,0.4,1.0,5.0,142.6886458333333,0.7913333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,1.0,5.0,144.31885416666665,0.7886666666666666,0.582,2.0
roshambo,0.4,0.4,1.0,5.0,145.085,0.798,0.5693333333333334,3.0
roshambo,0.4,0.4,2.0,5.0,102.57239583333333,0.79,0.5726666666666667,1.0
roshambo,0.4,0.4,2.0,5.0,103.65885416666666,0.7766666666666666,0.582,2.0
roshambo,0.4,0.4,2.0,5.0,104.21000000000001,0.788,0.5693333333333334,3.0
roshambo,0.4,0.4,3.0,5.0,81.93135416666667,0.774,0.5726666666666667,1.0
roshambo,0.4,0.4,3.0,5.0,82.758125,0.7686666666666667,0.582,2.0
roshambo,0.4,0.4,3.0,5.0,83.24510416666666,0.778,0.5693333333333334,3.0
roshambo,0.4,0.4,4.0,5.0,67.614375,0.7573333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,4.0,5.0,68.23395833333333,0.7546666666666667,0.582,2.0
roshambo,0.4,0.4,4.0,5.0,68.635,0.7726666666666666,0.5693333333333334,3.0
