dataset,encode_thr_up,encode_thr_dn,encode_refractory,encode_interpfact,firing_rate,svm_score,svm_score_baseline,fold
roshambo,0.4,0.4,0.0,5.0,169.40427083333333,0.7833333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,0.0,5.0,170.9565625,0.78,0.582,2.0
roshambo,0.4,0.4,0.0,5.0,171.64666666666668,0.8006666666666666,0.5693333333333334,3.0
roshambo,0.4,0.4,1.0,5.0,142.6886458333333,0.7913333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,1.0,5.0,144.31885416666665,0.7886666666666666,0.582,2.0
roshambo,0.4,0.4,1.0,5.0,145.085,0.798,0.5693333333333334,3.0
roshambo,0.5,0.5,0.0,5.0,129.3778125,0.7746666666666666,0.5726666666666667,1.0
roshambo,0.5,0.5,0.0,5.0,130.62510416666666,0.7866666666666666,0.582,2.0
