memoryless,win,input_connection_density,dataset,tstart,tlast,freeze_time_ms,tau_min,tau_max,thr_min,thr_max,refractory,learning_algorithm,macrocolumnShape,minicolumnShape,topology,stdp_apre,stdp_tau,wmax,wmin,winitmax,winitmin,cbf,lr_critical,connection_density,nbneurons,nbsynapses,adaptiveProb,excitatoryProb,firing_rate,svm_score,svm_score_input,fold,path_res_connections
1.0,1.0*rand(),0.15,roshambo,0.0,1800.0,0.0,0.0,25.0,1.0,1.0,1.0,critical,"[2, 2, 1]","[5, 5, 1]",custom,0.001,25.0,1.0,0.01,0.0,0.0,1.0,0.1,0.3,100.0,40.0,1.0,1.0,9.45,0.768,0.7846666666666666,1.0,Conn_map.txt
1.0,1.0*rand(),0.15,roshambo,0.0,1800.0,0.0,0.0,25.0,1.0,1.0,1.0,critical,"[2, 2, 1]","[5, 5, 1]",custom,0.001,25.0,1.0,0.01,0.0,0.0,1.0,0.1,0.3,100.0,40.0,1.0,1.0,10.25,0.7446666666666667,0.79,2.0,Conn_map.txt
