dataset,encode_thr_up,encode_thr_dn,encode_refractory,encode_interpfact,firing_rate,svm_score,svm_score_baseline,fold
roshambo,0.4,0.4,0.0,5.0,169.40427083333333,0.7833333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,0.0,5.0,170.9565625,0.78,0.582,2.0
roshambo,0.4,0.4,0.0,5.0,171.64666666666668,0.8006666666666666,0.5693333333333334,3.0
roshambo,0.4,0.4,1.0,5.0,142.6886458333333,0.7913333333333333,0.5726666666666667,1.0
roshambo,0.4,0.4,1.0,5.0,144.31885416666665,0.7886666666666666,0.582,2.0
roshambo,0.4,0.4,1.0,5.0,145.085,0.798,0.5693333333333334,3.0
roshambo,0.5,0.5,0.0,5.0,129.3778125,0.7746666666666666,0.5726666666666667,1.0
roshambo,0.5,0.5,0.0,5.0,130.62510416666666,0.7866666666666666,0.582,2.0
roshambo,0.5,0.5,0.0,5.0,131.08083333333335,0.792,0.5693333333333334,3.0
roshambo,0.5,0.5,1.0,5.0,115.03354166666665,0.786,0.5726666666666667,1.0
roshambo,0.5,0.5,1.0,5.0,116.393125,0.79,0.582,2.0
roshambo,0.5,0.5,1.0,5.0,116.95500000000001,0.796,0.5693333333333334,3.0
roshambo,0.6,0.6,0.0,5.0,102.25145833333333,0.786,0.5726666666666667,1.0
roshambo,0.6,0.6,0.0,5.0,103.21729166666665,0.78,0.582,2.0
roshambo,0.6,0.6,0.0,5.0,103.55083333333333,0.7886666666666666,0.5693333333333334,3.0
roshambo,0.6,0.6,1.0,5.0,94.22572916666667,0.782,0.5726666666666667,1.0
roshambo,0.6,0.6,1.0,5.0,95.35354166666667,0.7886666666666666,0.582,2.0
roshambo,0.6,0.6,1.0,5.0,95.76447916666667,0.792,0.5693333333333334,3.0
5_class,0.4,0.4,0.0,5.0,179.92267857142855,0.6091428571428571,0.31352380952380954,1.0
5_class,0.4,0.4,0.0,5.0,179.80181547619048,0.6725714285714286,0.31961904761904764,2.0
5_class,0.4,0.4,0.0,5.0,180.43907738095237,0.6407619047619048,0.3339047619047619,3.0
5_class,0.4,0.4,1.0,5.0,156.01375000000002,0.6224761904761905,0.31352380952380954,1.0
5_class,0.4,0.4,1.0,5.0,155.8645238095238,0.68,0.31961904761904764,2.0
